date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-11-16,META,331.2808532714844,334.19000244140625,334.5799865722656,326.3800048828125,329.3699951171875,18932600,Meta,0.004448367294215716,0.002543432026663961,16.756395861878786
2023-11-17,META,332.1234436035156,335.0400085449219,335.5,329.3500061035156,330.260009765625,14494400,Meta,0.002543432026663961,0.014714664246260334,16.48927292589716
2023-11-20,META,337.0105285644531,339.9700012207031,341.8699951171875,334.19000244140625,334.8900146484375,16960500,Meta,0.014714664246260334,-0.008794764470064331,16.646397669025546
2023-11-21,META,334.0466003417969,336.9800109863281,339.8999938964844,335.8999938964844,338.3299865722656,12027900,Meta,-0.008794764470064331,0.013383288694659212,16.302739509121842
2023-11-22,META,338.5172424316406,341.489990234375,342.9200134277344,338.5799865722656,339.2099914550781,10702700,Meta,0.013383288694659212,-0.009546241602346406,16.186006604049247
2023-11-24,META,335.2856750488281,338.2300109863281,341.8599853515625,336.7699890136719,340.1300048828125,5467500,Meta,-0.009546241602346406,-0.010436492827971766,15.51433203153306
2023-11-27,META,331.7864685058594,334.70001220703125,339.8999938964844,334.20001220703125,336.17999267578125,15684500,Meta,-0.010436492827971766,0.012817077737180993,16.56818352150876
2023-11-28,META,336.03900146484375,338.989990234375,339.3800048828125,333.3999938964844,333.3999938964844,12637200,Meta,0.012817077737180993,-0.02002992191857733,16.35215540315669
2023-11-29,META,329.30816650390625,332.20001220703125,339.8999938964844,330.7799987792969,339.69000244140625,16024500,Meta,-0.02002992191857733,-0.015201695523118341,16.589629359036188
2023-11-30,META,324.3021240234375,327.1499938964844,333.5,322.3999938964844,331.8900146484375,23146400,Meta,-0.015201695523118341,-0.007122039023850446,16.957349818844566
2023-12-01,META,321.992431640625,324.82000732421875,326.8599853515625,320.760009765625,325.4800109863281,15276400,Meta,-0.007122039023850446,-0.014777584179315628,16.541819711849875
2023-12-04,META,317.2341613769531,320.0199890136719,320.8599853515625,313.6600036621094,317.2900085449219,19037100,Meta,-0.014777584179315628,-0.005405704921987997,16.761900264802637
2023-12-05,META,315.519287109375,318.2900085449219,321.8800048828125,315.3900146484375,318.9800109863281,16952100,Meta,-0.005405704921987997,-0.0026392464369641155,16.645902277921838
2023-12-06,META,314.6865539550781,317.45001220703125,322.25,317.0400085449219,321.92999267578125,11294300,Meta,-0.0026392464369641155,0.028792000193179623,16.23980873163883
